Vietnamese,English,Frequency,Status
"Văn","",2,NEEDS TRANSLATION
"Lâu","",2,NEEDS TRANSLATION
"sầu","",2,NEEDS TRANSLATION
"thoáng","",2,NEEDS TRANSLATION
"neo","",2,NEEDS TRANSLATION
"chống","",2,NEEDS TRANSLATION
"tát","",2,NEEDS TRANSLATION
"iêng","",2,NEEDS TRANSLATION
"chiếc","classifier (vehicles)",2,TRANSLATED
"phản","",2,NEEDS TRANSLATION
"bể","",2,NEEDS TRANSLATION
"nhất","first/most",2,TRANSLATED
"phách","",2,NEEDS TRANSLATION
"theo","follow/according to",2,TRANSLATED
"lắng","",2,NEEDS TRANSLATION
"xang","",2,NEEDS TRANSLATION
"đầy","",2,NEEDS TRANSLATION
"(Quân","",2,NEEDS TRANSLATION
"tồn","",2,NEEDS TRANSLATION
"cống","sluice gate",2,TRANSLATED
"khó","",2,NEEDS TRANSLATION
"dua","",2,NEEDS TRANSLATION
"giả","",2,NEEDS TRANSLATION
"li","",2,NEEDS TRANSLATION
"lì","",2,NEEDS TRANSLATION
"lí","",2,NEEDS TRANSLATION
"vọng","",2,NEEDS TRANSLATION
"Đà","",2,NEEDS TRANSLATION
"Cắc","",2,NEEDS TRANSLATION
"Ké","",2,NEEDS TRANSLATION
"Nhông","",2,NEEDS TRANSLATION
"ống","tube/pipe",2,TRANSLATED
"tưới","water/irrigate",2,TRANSLATED
"xui","urge/tempt",2,TRANSLATED
"hang","",2,NEEDS TRANSLATION
"Nó","",2,NEEDS TRANSLATION
"rịnh","",2,NEEDS TRANSLATION
"chày","",2,NEEDS TRANSLATION
"(làm","",2,NEEDS TRANSLATION
"răng)","",2,NEEDS TRANSLATION
"lới","",2,NEEDS TRANSLATION
"hôm","evening",2,TRANSLATED
"nớ","",2,NEEDS TRANSLATION
"óa","",2,NEEDS TRANSLATION
"hòn","",2,NEEDS TRANSLATION
"chiện","",2,NEEDS TRANSLATION
"xoài","",2,NEEDS TRANSLATION
"xuân","spring",2,TRANSLATED
"Muốn","",2,NEEDS TRANSLATION
"Nọi","",2,NEEDS TRANSLATION
"Nón","hat",2,TRANSLATED
"lắp","",2,NEEDS TRANSLATION
"vòng","",2,NEEDS TRANSLATION
"Nắm","",2,NEEDS TRANSLATION
"mứ","",2,NEEDS TRANSLATION
"xuổi","",2,NEEDS TRANSLATION
"bóh","",2,NEEDS TRANSLATION
"khỏi","",2,NEEDS TRANSLATION
"mơi","flirt",2,TRANSLATED
"nà","",2,NEEDS TRANSLATION
"ná","",2,NEEDS TRANSLATION
"quốc","",2,NEEDS TRANSLATION
"lâm","",2,NEEDS TRANSLATION
"nguy","",2,NEEDS TRANSLATION
"nổ","",2,NEEDS TRANSLATION
"Vậy","",2,NEEDS TRANSLATION
"thù","",2,NEEDS TRANSLATION
"giữa","",2,NEEDS TRANSLATION
"chiến","",2,NEEDS TRANSLATION
"nhi","",2,NEEDS TRANSLATION
"ngát","",2,NEEDS TRANSLATION
"trùng","",2,NEEDS TRANSLATION
"thơm","",2,NEEDS TRANSLATION
"Tiếng","",2,NEEDS TRANSLATION
"sương","",2,NEEDS TRANSLATION
"hiu","",2,NEEDS TRANSLATION
"bốn","four",2,TRANSLATED
"mạn","side (of boat)",2,TRANSLATED
"in","",2,NEEDS TRANSLATION
"xưa","",2,NEEDS TRANSLATION
"ớ)","",2,NEEDS TRANSLATION
"mươi","",2,NEEDS TRANSLATION
"phong","seal/wind",2,TRANSLATED
"đền","",2,NEEDS TRANSLATION
"giáng","",2,NEEDS TRANSLATION
"nhời","",2,NEEDS TRANSLATION
"Chỉ","thread/point",2,TRANSLATED
"gởi","",2,NEEDS TRANSLATION
"thể","",2,NEEDS TRANSLATION
"chảy","",2,NEEDS TRANSLATION
"cấy","",2,NEEDS TRANSLATION
"ruộng","rice field",2,TRANSLATED
"chầy","",2,NEEDS TRANSLATION
"nín","",2,NEEDS TRANSLATION
"Bồong","",2,NEEDS TRANSLATION
"lìa","",2,NEEDS TRANSLATION
"chóc","",2,NEEDS TRANSLATION
"chong","",2,NEEDS TRANSLATION
"hma","",2,NEEDS TRANSLATION
"mtây","",2,NEEDS TRANSLATION
"ana","",2,NEEDS TRANSLATION
"mchê","",2,NEEDS TRANSLATION
"drây","",2,NEEDS TRANSLATION
"kẻo","",2,NEEDS TRANSLATION
"khi","",2,NEEDS TRANSLATION
"Trong","in/inside",2,TRANSLATED
"thắp","light/kindle",2,TRANSLATED
"thềm","",2,NEEDS TRANSLATION
"khúc","",2,NEEDS TRANSLATION
"đám","",2,NEEDS TRANSLATION
"(này)","",2,NEEDS TRANSLATION
"Bát","eight/bowl",2,TRANSLATED
"phú","",2,NEEDS TRANSLATION
"dân","",2,NEEDS TRANSLATION
"nít","",2,NEEDS TRANSLATION
"lim","",2,NEEDS TRANSLATION
"dim","",2,NEEDS TRANSLATION
"khách","",2,NEEDS TRANSLATION
"áo","shirt",2,TRANSLATED
"khê","",2,NEEDS TRANSLATION
"vương","",2,NEEDS TRANSLATION
"dặm","",2,NEEDS TRANSLATION
"nuôi","",2,NEEDS TRANSLATION
"mồm","",2,NEEDS TRANSLATION
"vá","",2,NEEDS TRANSLATION
"ri","",2,NEEDS TRANSLATION
"bớ","",2,NEEDS TRANSLATION
"Chê","",2,NEEDS TRANSLATION
"liếc","",2,NEEDS TRANSLATION
"đẹp","beautiful",2,TRANSLATED
"Chi","",2,NEEDS TRANSLATION
"xeo","",2,NEEDS TRANSLATION
"Lá","leaf",2,TRANSLATED
"vi","",2,NEEDS TRANSLATION
"theng","",2,NEEDS TRANSLATION
"thao","",2,NEEDS TRANSLATION
"pê","",2,NEEDS TRANSLATION
"xẻ","split",2,TRANSLATED
"Chân","leg/foot",2,TRANSLATED
"chành","onomatopoeia (sound)",2,TRANSLATED
"loài","",2,NEEDS TRANSLATION
"trâu","water buffalo",2,TRANSLATED
"bắp","",2,NEEDS TRANSLATION
"than","",2,NEEDS TRANSLATION
"giải","",2,NEEDS TRANSLATION
"mày","",2,NEEDS TRANSLATION
"bầu","",2,NEEDS TRANSLATION
"Dạ","",2,NEEDS TRANSLATION
"châm","",2,NEEDS TRANSLATION
"phố","street/town",2,TRANSLATED
"đeo","",2,NEEDS TRANSLATION
"bộ","",2,NEEDS TRANSLATION
"lúng","",2,NEEDS TRANSLATION
"ề","",2,NEEDS TRANSLATION
"chơn","",2,NEEDS TRANSLATION
"Hoa","flower",2,TRANSLATED
"tiến","",2,NEEDS TRANSLATION
"Nhị","",2,NEEDS TRANSLATION
"trôi","",2,NEEDS TRANSLATION
"bội","",2,NEEDS TRANSLATION
"nội","",2,NEEDS TRANSLATION
"tám","eight",2,TRANSLATED
"chông","",2,NEEDS TRANSLATION
"đông","",2,NEEDS TRANSLATION
"giảng","",2,NEEDS TRANSLATION
"Nhược","",2,NEEDS TRANSLATION
"Thày","",1,NEEDS TRANSLATION
"mưng","",1,NEEDS TRANSLATION
"tế","",1,NEEDS TRANSLATION
"du","",1,NEEDS TRANSLATION
"thày","",1,NEEDS TRANSLATION
"ôn","",1,NEEDS TRANSLATION
"Chơ","",1,NEEDS TRANSLATION
"phi","",1,NEEDS TRANSLATION
"lô","",1,NEEDS TRANSLATION
"Dom","",1,NEEDS TRANSLATION
"tho","",1,NEEDS TRANSLATION
"Buộc","tie/bind",1,TRANSLATED
"ruột","",1,NEEDS TRANSLATION
"ốc","",1,NEEDS TRANSLATION
"buộc","tie/bind",1,TRANSLATED
"Ới","",1,NEEDS TRANSLATION
"tẹo","tiny",1,TRANSLATED
"tèo","teeny",1,TRANSLATED
"teo","weeny",1,TRANSLATED
"kheo","stilts",1,TRANSLATED
"cõng","carry on back",1,TRANSLATED
"Đêm","night",1,TRANSLATED
"co","",1,NEEDS TRANSLATION
"lười","lazy",1,TRANSLATED
"biếng","lazy",1,TRANSLATED
"hành","practice/行",1,TRANSLATED
"Chầu","",1,NEEDS TRANSLATION
"rày","",1,NEEDS TRANSLATION
"dì","",1,NEEDS TRANSLATION
"chú","uncle",1,TRANSLATED
"bắn","",1,NEEDS TRANSLATION
"Đạn","",1,NEEDS TRANSLATION
"ghim","",1,NEEDS TRANSLATION
"đạn","",1,NEEDS TRANSLATION
"Vì","because",1,TRANSLATED
"rơi","",1,NEEDS TRANSLATION
"trúng","",1,NEEDS TRANSLATION
"kì","",1,NEEDS TRANSLATION
"Nhìn","",1,NEEDS TRANSLATION
"đâm","",1,NEEDS TRANSLATION
"khoái","",1,NEEDS TRANSLATION
"chí","will/ambition",1,TRANSLATED
"bảo","",1,NEEDS TRANSLATION
"khiêng","",1,NEEDS TRANSLATION
"phủ","",1,NEEDS TRANSLATION
"vậy","",1,NEEDS TRANSLATION
"suối","",1,NEEDS TRANSLATION
"thông","",1,NEEDS TRANSLATION
"họ","family/they",1,TRANSLATED
"Khóa","lock",1,TRANSLATED
"tàu","",1,NEEDS TRANSLATION
"gạt","",1,NEEDS TRANSLATION
"dữ","",1,NEEDS TRANSLATION
"giấu","",1,NEEDS TRANSLATION
"Mời","",1,NEEDS TRANSLATION
"xơi","",1,NEEDS TRANSLATION
"bù","supplement",1,TRANSLATED
"kè","dike",1,TRANSLATED
"chấm","",1,NEEDS TRANSLATION
"muối","",1,NEEDS TRANSLATION
"mè","sesame",1,TRANSLATED
"Ăn","eat",1,TRANSLATED
"xôi","",1,NEEDS TRANSLATION
"phỏng","",1,NEEDS TRANSLATION
"Xin","",1,NEEDS TRANSLATION
"vua","",1,NEEDS TRANSLATION
"thắng","",1,NEEDS TRANSLATION
"tịch","",1,NEEDS TRANSLATION
"hoan","",1,NEEDS TRANSLATION
"khai","",1,NEEDS TRANSLATION
"xiêm","",1,NEEDS TRANSLATION
"Ngiêu","",1,NEEDS TRANSLATION
"Thuấn","",1,NEEDS TRANSLATION
"đai","",1,NEEDS TRANSLATION
"quỳ","",1,NEEDS TRANSLATION
"thiều","",1,NEEDS TRANSLATION
"văn","",1,NEEDS TRANSLATION
"xứng","",1,NEEDS TRANSLATION
"tràng","",1,NEEDS TRANSLATION
"chén","",1,NEEDS TRANSLATION
"san","",1,NEEDS TRANSLATION
"buồn","sad",1,TRANSLATED
"giáo","drill/teach",1,TRANSLATED
"Tìm","",1,NEEDS TRANSLATION
"Thượng","",1,NEEDS TRANSLATION
"vẻ","",1,NEEDS TRANSLATION
"Được","can/able/get",1,TRANSLATED
"bưng","",1,NEEDS TRANSLATION
"Đánh","",1,NEEDS TRANSLATION
"Giọng","",1,NEEDS TRANSLATION
"dậm","",1,NEEDS TRANSLATION
"cứng","",1,NEEDS TRANSLATION
"đè","",1,NEEDS TRANSLATION
"rõ","",1,NEEDS TRANSLATION
"Quanh","",1,NEEDS TRANSLATION
"Nghệ","",1,NEEDS TRANSLATION
"kiệt","",1,NEEDS TRANSLATION
"Khách","",1,NEEDS TRANSLATION
"Trộ","",1,NEEDS TRANSLATION
"đợ","",1,NEEDS TRANSLATION
"vốn","",1,NEEDS TRANSLATION
"suy","",1,NEEDS TRANSLATION
"góp","",1,NEEDS TRANSLATION
"lứa","",1,NEEDS TRANSLATION
"Xư","",1,NEEDS TRANSLATION
"tì","",1,NEEDS TRANSLATION
"dung","",1,NEEDS TRANSLATION
"pi","",1,NEEDS TRANSLATION
"ní","",1,NEEDS TRANSLATION
"chì","lead weight",1,TRANSLATED
"xư","",1,NEEDS TRANSLATION
"lùa","",1,NEEDS TRANSLATION
"tsư","",1,NEEDS TRANSLATION
"do","",1,NEEDS TRANSLATION
"Phát","",1,NEEDS TRANSLATION
"rác","",1,NEEDS TRANSLATION
"pở","",1,NEEDS TRANSLATION
"đôông","",1,NEEDS TRANSLATION
"khướng","",1,NEEDS TRANSLATION
"rướng","",1,NEEDS TRANSLATION
"clước","",1,NEEDS TRANSLATION
"khau","",1,NEEDS TRANSLATION
"đặng","",1,NEEDS TRANSLATION
"chích","",1,NEEDS TRANSLATION
"lệ","",1,NEEDS TRANSLATION
"Lê","",1,NEEDS TRANSLATION
"muêch","",1,NEEDS TRANSLATION
"pán","",1,NEEDS TRANSLATION
"Bán","",1,NEEDS TRANSLATION
"Pán","",1,NEEDS TRANSLATION
"báo","",1,NEEDS TRANSLATION
"bào","",1,NEEDS TRANSLATION
"lế","",1,NEEDS TRANSLATION
"Ló","",1,NEEDS TRANSLATION
"nếp","",1,NEEDS TRANSLATION
"vêt","",1,NEEDS TRANSLATION
"Lò","",1,NEEDS TRANSLATION
"chăm","",1,NEEDS TRANSLATION
"vết","",1,NEEDS TRANSLATION
"mười","ten",1,TRANSLATED
"đang","",1,NEEDS TRANSLATION
"phát","",1,NEEDS TRANSLATION
"nác","",1,NEEDS TRANSLATION
"vạc","stork",1,TRANSLATED
"nông","shallow/farming",1,TRANSLATED
"béo","",1,NEEDS TRANSLATION
"vặt","",1,NEEDS TRANSLATION
"hơ)","",1,NEEDS TRANSLATION
"cháy","",1,NEEDS TRANSLATION
"nhấp","",1,NEEDS TRANSLATION
"nhem","",1,NEEDS TRANSLATION
"hiếu","",1,NEEDS TRANSLATION
"khô","",1,NEEDS TRANSLATION
"mọc","",1,NEEDS TRANSLATION
"chồi","",1,NEEDS TRANSLATION
"sống","",1,NEEDS TRANSLATION
"muồi","",1,NEEDS TRANSLATION
"Quán","",1,NEEDS TRANSLATION
"Cầu","bridge",1,TRANSLATED
"Nam","south/male",1,TRANSLATED
"Phổ","",1,NEEDS TRANSLATION
"trầu","",1,NEEDS TRANSLATION
"Dinh","",1,NEEDS TRANSLATION
"Ái","",1,NEEDS TRANSLATION
"Tử","",1,NEEDS TRANSLATION
"Gái","",1,NEEDS TRANSLATION
"Vọng","",1,NEEDS TRANSLATION
"Phu","",1,NEEDS TRANSLATION
"ve","",1,NEEDS TRANSLATION
"ma","",1,NEEDS TRANSLATION
"y","",1,NEEDS TRANSLATION
"hun","",1,NEEDS TRANSLATION
"krưc","",1,NEEDS TRANSLATION
"mân","",1,NEEDS TRANSLATION
"thưc","",1,NEEDS TRANSLATION
"ph","",1,NEEDS TRANSLATION
"krom","",1,NEEDS TRANSLATION
"luue","",1,NEEDS TRANSLATION
"dai","",1,NEEDS TRANSLATION
"p","",1,NEEDS TRANSLATION
"lơu","",1,NEEDS TRANSLATION
"Kõn","",1,NEEDS TRANSLATION
"đêck","",1,NEEDS TRANSLATION
"tơu","",1,NEEDS TRANSLATION
"Phụ","",1,NEEDS TRANSLATION
"tăm","",1,NEEDS TRANSLATION
"đờn","",1,NEEDS TRANSLATION
"Đờn","",1,NEEDS TRANSLATION
"xoay","",1,NEEDS TRANSLATION
"thác","",1,NEEDS TRANSLATION
"mồ","",1,NEEDS TRANSLATION
"Mồ","",1,NEEDS TRANSLATION
"Đói","",1,NEEDS TRANSLATION
"miếu","",1,NEEDS TRANSLATION
"Bao","",1,NEEDS TRANSLATION
"rụng","",1,NEEDS TRANSLATION
"bấy","",1,NEEDS TRANSLATION
"quét","",1,NEEDS TRANSLATION
"khuyên","",1,NEEDS TRANSLATION
"rung","",1,NEEDS TRANSLATION
"nhỏ","small",1,TRANSLATED
"đỏ","red",1,TRANSLATED
"`","",1,NEEDS TRANSLATION
"lụa","",1,NEEDS TRANSLATION
"Chẻ","",1,NEEDS TRANSLATION
"tre","",1,NEEDS TRANSLATION
"sịa","",1,NEEDS TRANSLATION
"phơi","",1,NEEDS TRANSLATION
"rã","",1,NEEDS TRANSLATION
"từng","",1,NEEDS TRANSLATION
"chòm","",1,NEEDS TRANSLATION
"hóa","",1,NEEDS TRANSLATION
"dòm","",1,NEEDS TRANSLATION
"Lác","",1,NEEDS TRANSLATION
"Phong","seal/wind",1,TRANSLATED
"Vui","happy/fun",1,TRANSLATED
"thay","instead/change",1,TRANSLATED
"Chốn","place",1,TRANSLATED
"Đất","",1,NEEDS TRANSLATION
"bão","",1,NEEDS TRANSLATION
"Cầm","",1,NEEDS TRANSLATION
"Nguyệt","",1,NEEDS TRANSLATION
"Ngộ","",1,NEEDS TRANSLATION
"kiến","",1,NEEDS TRANSLATION
"Hữu","",1,NEEDS TRANSLATION
"Gặp","",1,NEEDS TRANSLATION
"Di","",1,NEEDS TRANSLATION
"Dương","yang/sun",1,TRANSLATED
"(nam","",1,NEEDS TRANSLATION
"phan","",1,NEEDS TRANSLATION
"(hư)","",1,NEEDS TRANSLATION
"Thiếp","",1,NEEDS TRANSLATION
"rồng","",1,NEEDS TRANSLATION
"hoàng","",1,NEEDS TRANSLATION
"cội","",1,NEEDS TRANSLATION
"(hưm)","",1,NEEDS TRANSLATION
"Hán","",1,NEEDS TRANSLATION
"quyết","",1,NEEDS TRANSLATION
"phô","",1,NEEDS TRANSLATION
"tận","",1,NEEDS TRANSLATION
"dàn","",1,NEEDS TRANSLATION
"nậu","",1,NEEDS TRANSLATION
"hởi","",1,NEEDS TRANSLATION
"Hố","",1,NEEDS TRANSLATION
"Rị","",1,NEEDS TRANSLATION
"Lưới","",1,NEEDS TRANSLATION
"(kéo)","",1,NEEDS TRANSLATION
"Mới","new",1,TRANSLATED
"răng","",1,NEEDS TRANSLATION
"gừng","",1,NEEDS TRANSLATION
"Đôi","pair/couple",1,TRANSLATED
"vạn","",1,NEEDS TRANSLATION
"sáu","six",1,TRANSLATED
"mí","",1,NEEDS TRANSLATION
"gỗ","",1,NEEDS TRANSLATION
"rộng","",1,NEEDS TRANSLATION
"mênh","",1,NEEDS TRANSLATION
"Trăm","",1,NEEDS TRANSLATION
"thắm","",1,NEEDS TRANSLATION
"thề","",1,NEEDS TRANSLATION
"đá","",1,NEEDS TRANSLATION
"đạp","",1,NEEDS TRANSLATION
"cám","",1,NEEDS TRANSLATION
"Ép","",1,NEEDS TRANSLATION
"ánh","",1,NEEDS TRANSLATION
"ép","",1,NEEDS TRANSLATION
"Hớ","",1,NEEDS TRANSLATION
"quơ","",1,NEEDS TRANSLATION
"long","",1,NEEDS TRANSLATION
"lược","",1,NEEDS TRANSLATION
"dáng","",1,NEEDS TRANSLATION
"bởi","because",1,TRANSLATED
"kịp","",1,NEEDS TRANSLATION
"chịu","",1,NEEDS TRANSLATION
"nhịp","rhythm/beat",1,TRANSLATED
"nếu","",1,NEEDS TRANSLATION
"Trước","",1,NEEDS TRANSLATION
"(h","",1,NEEDS TRANSLATION
"thảm","",1,NEEDS TRANSLATION
"cảm","",1,NEEDS TRANSLATION
"hm","",1,NEEDS TRANSLATION
"Chiếc","classifier (vehicles)",1,TRANSLATED
"thấp","short/low",1,TRANSLATED
"Mái","roof/mai (work song type)",1,TRANSLATED
"đẩy","",1,NEEDS TRANSLATION
"tấm","",1,NEEDS TRANSLATION
"Sang","cross over",1,TRANSLATED
"hái","pick/gather",1,TRANSLATED
"cắm","",1,NEEDS TRANSLATION
"sào","",1,NEEDS TRANSLATION
"chặt","",1,NEEDS TRANSLATION
"bờ","",1,NEEDS TRANSLATION
"chị","",1,NEEDS TRANSLATION
"liễn","",1,NEEDS TRANSLATION
"Mà","that/which",1,TRANSLATED
"vất","",1,NEEDS TRANSLATION
"Với","with",1,TRANSLATED
"Xông","",1,NEEDS TRANSLATION
"đê","dike/levee",1,TRANSLATED
"Ngăn","",1,NEEDS TRANSLATION
"trào","",1,NEEDS TRANSLATION
"hới","",1,NEEDS TRANSLATION
"Lênh","",1,NEEDS TRANSLATION
"đênh","",1,NEEDS TRANSLATION
"kề","",1,NEEDS TRANSLATION
"chật","",1,NEEDS TRANSLATION
"hứ","",1,NEEDS TRANSLATION
"hồi","",1,NEEDS TRANSLATION
"nhạn","",1,NEEDS TRANSLATION
"đoài","",1,NEEDS TRANSLATION
"Ta","I/we",1,TRANSLATED
"kể","",1,NEEDS TRANSLATION
"Từ","from",1,TRANSLATED
"cầm","",1,NEEDS TRANSLATION
"Phách","",1,NEEDS TRANSLATION
"nhì","",1,NEEDS TRANSLATION
"gieo","",1,NEEDS TRANSLATION
"cắc","",1,NEEDS TRANSLATION
"cớ","",1,NEEDS TRANSLATION
"oan","",1,NEEDS TRANSLATION
"ương","",1,NEEDS TRANSLATION
"dồn","",1,NEEDS TRANSLATION
"dập","",1,NEEDS TRANSLATION
"Ớ","",1,NEEDS TRANSLATION
"lương","",1,NEEDS TRANSLATION
"xê","move/shift",1,TRANSLATED
"sợ","fear",1,TRANSLATED
"kiếp","life/existence",1,TRANSLATED
"Nhạn","",1,NEEDS TRANSLATION
"lạc","",1,NEEDS TRANSLATION
"gầy","",1,NEEDS TRANSLATION
"oanh","",1,NEEDS TRANSLATION
"én","",1,NEEDS TRANSLATION
"núp","",1,NEEDS TRANSLATION
"lẻn","",1,NEEDS TRANSLATION
"nghèo","",1,NEEDS TRANSLATION
"cháo","",1,NEEDS TRANSLATION
"rau","",1,NEEDS TRANSLATION
"dạ","",1,NEEDS TRANSLATION
"liệu","",1,NEEDS TRANSLATION
"xự","",1,NEEDS TRANSLATION
"xê)","",1,NEEDS TRANSLATION
"lởư","",1,NEEDS TRANSLATION
"lù","",1,NEEDS TRANSLATION
"khấu","",1,NEEDS TRANSLATION
"lờư","",1,NEEDS TRANSLATION
"lú","",1,NEEDS TRANSLATION
"khâu","sew",1,TRANSLATED
"ngoan","",1,NEEDS TRANSLATION
"Chập","",1,NEEDS TRANSLATION
"chùng","",1,NEEDS TRANSLATION
"tu","",1,NEEDS TRANSLATION
"Lỡ","",1,NEEDS TRANSLATION
"rớt","",1,NEEDS TRANSLATION
"Chủ","",1,NEEDS TRANSLATION
"đọa","",1,NEEDS TRANSLATION
"đày","",1,NEEDS TRANSLATION
"Xứ","",1,NEEDS TRANSLATION
"hớn","",1,NEEDS TRANSLATION
"hở","",1,NEEDS TRANSLATION
"cười","laugh",1,TRANSLATED
"Xui","urge/tempt",1,TRANSLATED
"cua","crab",1,TRANSLATED
"rinh","",1,NEEDS TRANSLATION
"Lang","lang (plant)",1,TRANSLATED
"tinh","",1,NEEDS TRANSLATION
"giã","pound",1,TRANSLATED
"gạo","rice",1,TRANSLATED
"hừ","",1,NEEDS TRANSLATION
"ôm","",1,NEEDS TRANSLATION
"quán","",1,NEEDS TRANSLATION
"dốc","",1,NEEDS TRANSLATION
"xem","",1,NEEDS TRANSLATION
"rằm","",1,NEEDS TRANSLATION
"Thai","",1,NEEDS TRANSLATION
"ứ","",1,NEEDS TRANSLATION
"cạn","",1,NEEDS TRANSLATION
"tiềng","",1,NEEDS TRANSLATION
"lượn","glide",1,TRANSLATED
"lư","",1,NEEDS TRANSLATION
"Ư","(confirmation particle)",1,TRANSLATED
"khuốp","",1,NEEDS TRANSLATION
"thõng","",1,NEEDS TRANSLATION
"cóong","",1,NEEDS TRANSLATION
"slóong","",1,NEEDS TRANSLATION
"sân","yard",1,TRANSLATED
"viết","",1,NEEDS TRANSLATION
"Tâm","heart/mind",1,TRANSLATED
"phà","",1,NEEDS TRANSLATION
"húm","",1,NEEDS TRANSLATION
"hua","",1,NEEDS TRANSLATION
"nọi","",1,NEEDS TRANSLATION
"cón","",1,NEEDS TRANSLATION
"Í","",1,NEEDS TRANSLATION
"pay","",1,NEEDS TRANSLATION
"xuôn","",1,NEEDS TRANSLATION
"puồn","",1,NEEDS TRANSLATION
"xay","",1,NEEDS TRANSLATION
"Nỉu","",1,NEEDS TRANSLATION
"khá","",1,NEEDS TRANSLATION
"Phá","",1,NEEDS TRANSLATION
"khinh","",1,NEEDS TRANSLATION
"xẻn","",1,NEEDS TRANSLATION
"Chén","",1,NEEDS TRANSLATION
"lẩu","ethnic term",1,TRANSLATED
"chớng","",1,NEEDS TRANSLATION
"bảu","",1,NEEDS TRANSLATION
"ngau","",1,NEEDS TRANSLATION
"lẹ","",1,NEEDS TRANSLATION
"lọ","",1,NEEDS TRANSLATION
"loạn","",1,NEEDS TRANSLATION
"cần","",1,NEEDS TRANSLATION
"giúp","",1,NEEDS TRANSLATION
"đỡ","",1,NEEDS TRANSLATION
"Buổi","",1,NEEDS TRANSLATION
"cậy","",1,NEEDS TRANSLATION
"niên","",1,NEEDS TRANSLATION
"Tổng","",1,NEEDS TRANSLATION
"rền","",1,NEEDS TRANSLATION
"mau","",1,NEEDS TRANSLATION
"tuột","",1,NEEDS TRANSLATION
"kiếm","",1,NEEDS TRANSLATION
"phục","",1,NEEDS TRANSLATION
"Tổ","",1,NEEDS TRANSLATION
"dứt","",1,NEEDS TRANSLATION
"mối","",1,NEEDS TRANSLATION
"đệm","",1,NEEDS TRANSLATION
"xen","",1,NEEDS TRANSLATION
"hát)","",1,NEEDS TRANSLATION
"trận","",1,NEEDS TRANSLATION
"gìn","",1,NEEDS TRANSLATION
"biên","",1,NEEDS TRANSLATION
"Thà","",1,NEEDS TRANSLATION
"giường","",1,NEEDS TRANSLATION
"Phản","",1,NEEDS TRANSLATION
"đì","",1,NEEDS TRANSLATION
"đùng","",1,NEEDS TRANSLATION
"sĩ","",1,NEEDS TRANSLATION
"hùng","",1,NEEDS TRANSLATION
"xông","",1,NEEDS TRANSLATION
"pha","",1,NEEDS TRANSLATION
"Chào","",1,NEEDS TRANSLATION
"Tung","",1,NEEDS TRANSLATION
"tăng","",1,NEEDS TRANSLATION
"mến","",1,NEEDS TRANSLATION
"chập","",1,NEEDS TRANSLATION
"đồi","hill",1,TRANSLATED
"nương","",1,NEEDS TRANSLATION
"ngập","",1,NEEDS TRANSLATION
"tràn","",1,NEEDS TRANSLATION
"lớn","",1,NEEDS TRANSLATION
"trúc","",1,NEEDS TRANSLATION
"chuông","",1,NEEDS TRANSLATION
"Trấn","",1,NEEDS TRANSLATION
"Vũ","",1,NEEDS TRANSLATION
"Thọ","",1,NEEDS TRANSLATION
"Xương","",1,NEEDS TRANSLATION
"Nhịp","rhythm/beat",1,TRANSLATED
"Yên","",1,NEEDS TRANSLATION
"Thái","",1,NEEDS TRANSLATION
"gương","",1,NEEDS TRANSLATION
"vùng","",1,NEEDS TRANSLATION
"cỏ","grass",1,TRANSLATED
"vài","",1,NEEDS TRANSLATION
"Rút","",1,NEEDS TRANSLATION
"Trâm","",1,NEEDS TRANSLATION
"sẵn","",1,NEEDS TRANSLATION
"giắt","",1,NEEDS TRANSLATION
"Vạch","",1,NEEDS TRANSLATION
"da","",1,NEEDS TRANSLATION
"vịnh","",1,NEEDS TRANSLATION
"vần","",1,NEEDS TRANSLATION
"Trăng","moon",1,TRANSLATED
"Làm","do/make/work",1,TRANSLATED
"Kỷ","",1,NEEDS TRANSLATION
"(í","",1,NEEDS TRANSLATION
"i)","",1,NEEDS TRANSLATION
"thọ","",1,NEEDS TRANSLATION
"Pháp","",1,NEEDS TRANSLATION
"Tân","",1,NEEDS TRANSLATION
"Trào","",1,NEEDS TRANSLATION
"Ngày","day",1,TRANSLATED
"thuở","",1,NEEDS TRANSLATION
"Du","",1,NEEDS TRANSLATION
"nhàn","",1,NEEDS TRANSLATION
"thiềng","",1,NEEDS TRANSLATION
"thị","",1,NEEDS TRANSLATION
"trưa","noon",1,TRANSLATED
"Sáu","six",1,TRANSLATED
"tuổi","",1,NEEDS TRANSLATION
"lăm","",1,NEEDS TRANSLATION
"giận","",1,NEEDS TRANSLATION
"Bấy","",1,NEEDS TRANSLATION
"(ở)","",1,NEEDS TRANSLATION
"ủ","",1,NEEDS TRANSLATION
"viếng","",1,NEEDS TRANSLATION
"mẫu","",1,NEEDS TRANSLATION
"thân","",1,NEEDS TRANSLATION
"Đẩu","",1,NEEDS TRANSLATION
"thường","",1,NEEDS TRANSLATION
"tảo","",1,NEEDS TRANSLATION
"tần","",1,NEEDS TRANSLATION
"lân","",1,NEEDS TRANSLATION
"thật","",1,NEEDS TRANSLATION
"thà","",1,NEEDS TRANSLATION
"hỏi","ask",1,TRANSLATED
"Giăng","spread",1,TRANSLATED
"Đường","road/way",1,TRANSLATED
"Rạng","",1,NEEDS TRANSLATION
"gát","",1,NEEDS TRANSLATION
"Nhắn","send message",1,TRANSLATED
